商品名稱,款式,日幣原價,成本HKD,售價HKD,圖片,重量g,備註,台幣售價,限購
ちいかわパーク Tシャツ テーマデザイン ホワイト,,4180,=C2*0.05+G2/50*4.5,"=CEILING(D2+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/4570189209298_09.jpg,,分類：全ての商品▼,"=CEILING(C2*0.22,5)",
ちいかわパーク Tシャツ テーマデザイン ブラック,,4180,=C3*0.05+G3/50*4.5,"=CEILING(D3+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/4570189209335_12.jpg,,分類：全ての商品▼,"=CEILING(C3*0.22,5)",
ちいかわパーク ミニバッグ付きエコバッグ テーマデザイン ピンク,,3520,=C4*0.05+G4/50*4.5,"=CEILING(D4+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/4570189209373_08.jpg,,分類：全ての商品▼,"=CEILING(C4*0.22,5)",
ちいかわパーク まめまめフィギュア まめつめボトル,,4180,=C5*0.05+G5/50*4.5,"=CEILING(D5+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/072001.png,,分類：全ての商品▼,"=CEILING(C5*0.22,5)",
ちいかわパーク ミニマスコットキーリング （全7種）,,1430,=C6*0.05+G6/50*4.5,"=CEILING(D6+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/mas01.jpg,,分類：全ての商品▼,"=CEILING(C6*0.22,5)",
ちいかわパーク ヘアバンド,,2530,=C7*0.05+G7/50*4.5,"=CEILING(D7+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/072401.jpeg,,分類：全ての商品▼,"=CEILING(C7*0.22,5)",
ちいかわパーク フラッグヘアターバン,,2200,=C8*0.05+G8/50*4.5,"=CEILING(D8+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/072402.jpeg,,分類：全ての商品▼,"=CEILING(C8*0.22,5)",
ちいかわパーク カラビナ付きポーチ スペシャルフォト（全4種）,,1980,=C9*0.05+G9/50*4.5,"=CEILING(D9+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/%E3%83%9D%E3%83%BC%E3%83%814%E3%82%AD%E3%83%A3%E3%83%A9.jpg,,分類：全ての商品▼,"=CEILING(C9*0.22,5)",
ちいかわパーク スペシャルフォトなみんなの トレーディングアクリルスタンド（全6種）,,660,=C10*0.05+G10/50*4.5,"=CEILING(D10+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/009.jpg,,分類：全ての商品▼,"=CEILING(C10*0.22,5)",
ちいかわパーク スペシャルフォトなみんなの4連アクリルチャーム,,1540,=C11*0.05+G11/50*4.5,"=CEILING(D11+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/006.jpg,,分類：全ての商品▼,"=CEILING(C11*0.22,5)",
ちいかわパーク スペシャルフォトな証明写真風ステッカー,,385,=C12*0.05+G12/50*4.5,"=CEILING(D12+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/008.jpg,,分類：全ての商品▼,"=CEILING(C12*0.22,5)",
ちいかわパーク スペシャルフォトなみんなの ホログラムクリアファイル,,385,=C13*0.05+G13/50*4.5,"=CEILING(D13+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/file.jpg,,分類：全ての商品▼,"=CEILING(C13*0.22,5)",
ちいかわパーク スペシャルフォトなキラキラ ポストカード,,330,=C14*0.05+G14/50*4.5,"=CEILING(D14+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/card01.jpg,,分類：全ての商品▼,"=CEILING(C14*0.22,5)",
ちいかわパーク ショッピングバッグ スペシャルフォト ピンク ONE,,3300,=C15*0.05+G15/50*4.5,"=CEILING(D15+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/%E3%82%B7%E3%83%A7%E3%83%83%E3%83%8F%E3%82%9A%E3%83%BC.JPG,,分類：全ての商品▼,"=CEILING(C15*0.22,5)",
ちいかわパーク Tシャツ スペシャルフォト ブラック,,3850,=C16*0.05+G16/50*4.5,"=CEILING(D16+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/t%E3%82%B7%E3%83%A3%E3%83%84BK.jpg,,分類：全ての商品▼,"=CEILING(C16*0.22,5)",
ちいかわパーク Tシャツ スペシャルフォト ホワイト,,3850,=C17*0.05+G17/50*4.5,"=CEILING(D17+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/t%E3%82%B7%E3%83%A3%E3%83%8401.jpg,,分類：全ての商品▼,"=CEILING(C17*0.22,5)",
ちいかわパーク お菓子なビーズ付き アクリルストラップ,,1430,=C18*0.05+G18/50*4.5,"=CEILING(D18+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/4571609407256.jpg,,分類：全ての商品▼,"=CEILING(C18*0.22,5)",
ちいかわパーク お菓子なおみやげマグカップ,,1650,=C19*0.05+G19/50*4.5,"=CEILING(D19+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/4571609407249_1.jpg,,分類：全ての商品▼,"=CEILING(C19*0.22,5)",
ちいかわパーク お菓子なトートバッグ,,2970,=C20*0.05+G20/50*4.5,"=CEILING(D20+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/012.jpg,,分類：全ての商品▼,"=CEILING(C20*0.22,5)",
ちいかわパーク お菓子なほどよいサイズの巾着,,1980,=C21*0.05+G21/50*4.5,"=CEILING(D21+30,1)",https://chiikawapark-tokyo.jp/cms/images/goods/4571609407232_1.jpg,,分類：全ての商品▼,"=CEILING(C21*0.22,5)",
